date,area,area_type,variant_name,specimens,percentage,specimens_7d_avg,percentage_7d_avg
2/2/2021,California,State,Mu,0,0,0,0
2/3/2021,California,State,Epsilon,808,74.33,463.5714286,70.52814606
2/3/2021,California,State,Gamma,0,0,0.714285714,0.108672028
2/3/2021,California,State,Alpha,29,2.67,16,2.434253423
2/3/2021,California,State,Total,1087,100,657.2857143,100
2/3/2021,California,State,Omicron,0,0,0,0
2/3/2021,California,State,Lambda,0,0,0,0
2/3/2021,California,State,Mu,0,0,0,0
2/3/2021,California,State,Other,249,22.91,176.2857143,26.82025647
2/3/2021,California,State,Delta,0,0,0.285714286,0.043468811
2/3/2021,California,State,Beta,1,0.09,0.428571429,0.065203217
2/4/2021,California,State,Other,107,20.27,148,24.31354142
2/4/2021,California,State,Delta,0,0,0.142857143,0.023468669
2/4/2021,California,State,Epsilon,406,76.89,445.7142857,73.2222483
2/4/2021,California,State,Mu,0,0,0,0
2/4/2021,California,State,Total,528,100,608.7142857,100
2/4/2021,California,State,Omicron,0,0,0,0
2/4/2021,California,State,Lambda,0,0,0,0
2/4/2021,California,State,Gamma,0,0,0.285714286,0.046937339
2/4/2021,California,State,Beta,0,0,0.142857143,0.023468669
2/4/2021,California,State,Alpha,15,2.84,14.42857143,2.370335602
2/5/2021,California,State,Beta,0,0,0.142857143,0.023068051
2/5/2021,California,State,Alpha,23,8.07,16.28571429,2.629757785
2/5/2021,California,State,Mu,0,0,0,0
2/5/2021,California,State,Other,75,26.32,151.1428571,24.40599769
2/5/2021,California,State,Gamma,0,0,0,0
2/5/2021,California,State,Omicron,0,0,0,0
2/5/2021,California,State,Epsilon,187,65.61,451.7142857,72.94117647
2/5/2021,California,State,Lambda,0,0,0,0
2/5/2021,California,State,Total,285,100,619.2857143,100
2/5/2021,California,State,Delta,0,0,0,0
2/6/2021,California,State,Beta,0,0,0.142857143,0.021682567
2/6/2021,California,State,Omicron,0,0,0,0
2/6/2021,California,State,Epsilon,271,70.39,479.1428571,72.72333044
2/6/2021,California,State,Delta,0,0,0,0
2/6/2021,California,State,Gamma,0,0,0,0
2/6/2021,California,State,Total,385,100,658.8571429,100
2/6/2021,California,State,Alpha,15,3.9,18.14285714,2.753686036
2/6/2021,California,State,Mu,0,0,0,0
2/6/2021,California,State,Lambda,0,0,0,0
2/6/2021,California,State,Other,99,25.71,161.4285714,24.50130095
2/7/2021,California,State,Lambda,0,0,0,0
2/7/2021,California,State,Beta,0,0,0.142857143,0.021777003
2/7/2021,California,State,Gamma,0,0,0,0
2/7/2021,California,State,Omicron,0,0,0,0
2/7/2021,California,State,Delta,1,0.46,0.142857143,0.021777003
2/7/2021,California,State,Mu,0,0,0,0
2/7/2021,California,State,Alpha,4,1.83,18.42857143,2.809233449
2/7/2021,California,State,Total,218,100,656,100
2/7/2021,California,State,Epsilon,170,77.98,481.4285714,73.38850174
2/7/2021,California,State,Other,43,19.72,155.8571429,23.7587108
2/8/2021,California,State,Beta,0,0,0.142857143,0.023245002
2/8/2021,California,State,Alpha,18,3.63,19.57142857,3.184565318
2/8/2021,California,State,Other,110,22.18,139.8571429,22.75685728
2/8/2021,California,State,Mu,0,0,0,0
2/8/2021,California,State,Omicron,0,0,0,0
2/8/2021,California,State,Epsilon,368,74.19,454.8571429,74.0120874
2/8/2021,California,State,Gamma,0,0,0,0
2/8/2021,California,State,Lambda,0,0,0,0
2/8/2021,California,State,Total,496,100,614.5714286,100
2/8/2021,California,State,Delta,0,0,0.142857143,0.023245002
2/9/2021,California,State,Alpha,22,3.42,18,3.459637562
2/9/2021,California,State,Beta,0,0,0.142857143,0.027457441
2/9/2021,California,State,Total,643,100,520.2857143,100
2/9/2021,California,State,Lambda,0,0,0,0
2/9/2021,California,State,Mu,0,0,0,0
2/9/2021,California,State,Delta,0,0,0.142857143,0.027457441
2/9/2021,California,State,Omicron,0,0,0,0
2/9/2021,California,State,Epsilon,472,73.41,383.1428571,73.64085667
2/9/2021,California,State,Gamma,0,0,0,0
2/9/2021,California,State,Other,149,23.17,118.8571429,22.84459088
2/10/2021,California,State,Mu,0,0,0,0
2/10/2021,California,State,Lambda,0,0,0,0
2/10/2021,California,State,Delta,0,0,0.142857143,0.032258065
2/10/2021,California,State,Omicron,0,0,0,0
2/10/2021,California,State,Other,160,29.36,106.1428571,23.96774194
2/10/2021,California,State,Alpha,21,3.85,16.85714286,3.806451613
2/10/2021,California,State,Epsilon,364,66.79,319.7142857,72.19354839
2/10/2021,California,State,Gamma,0,0,0,0
2/10/2021,California,State,Total,545,100,442.8571429,100
2/10/2021,California,State,Beta,0,0,0,0
2/11/2021,California,State,Other,124,24.17,108.5714286,24.63533225
2/11/2021,California,State,Mu,0,0,0,0
2/11/2021,California,State,Delta,0,0,0.142857143,0.032414911
2/11/2021,California,State,Omicron,0,0,0,0
2/11/2021,California,State,Beta,0,0,0,0
2/11/2021,California,State,Epsilon,361,70.37,313.2857143,71.08589951
2/11/2021,California,State,Lambda,0,0,0,0
2/11/2021,California,State,Total,513,100,440.7142857,100
2/11/2021,California,State,Alpha,28,5.46,18.71428571,4.246353323
2/11/2021,California,State,Gamma,0,0,0,0
2/12/2021,California,State,Mu,0,0,0,0
2/12/2021,California,State,Omicron,0,0,0,0
2/12/2021,California,State,Epsilon,297,72.62,329,71.76690558
2/12/2021,California,State,Total,409,100,458.4285714,100
2/12/2021,California,State,Beta,1,0.24,0.142857143,0.031162356
2/12/2021,California,State,Lambda,0,0,0,0
2/12/2021,California,State,Gamma,0,0,0,0
2/12/2021,California,State,Delta,0,0,0.142857143,0.031162356
2/12/2021,California,State,Alpha,26,6.36,19.14285714,4.175755687
2/12/2021,California,State,Other,85,20.78,110,23.99501402
2/13/2021,California,State,Total,308,100,447.4285714,100
2/13/2021,California,State,Gamma,0,0,0,0
2/13/2021,California,State,Lambda,0,0,0,0
2/13/2021,California,State,Epsilon,210,68.18,320.2857143,71.58365262
2/13/2021,California,State,Other,70,22.73,105.8571429,23.65900383
2/13/2021,California,State,Beta,0,0,0.142857143,0.03192848
2/13/2021,California,State,Delta,0,0,0.142857143,0.03192848
2/13/2021,California,State,Mu,0,0,0,0
2/13/2021,California,State,Alpha,28,9.09,21,4.69348659
2/13/2021,California,State,Omicron,0,0,0,0
2/14/2021,California,State,Lambda,0,0,0,0
2/14/2021,California,State,Total,128,100,434.5714286,100
2/14/2021,California,State,Beta,0,0,0.142857143,0.03287311
2/14/2021,California,State,Epsilon,93,72.66,309.2857143,71.17028271
